rule_id,period,passed,actual,limit,excess,severity,source,message_ru
BASE_TOTAL_SERVICE,2035,true,1,0.97,0,hard,constraints.csv,SL_total 2035: 1.0000 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2035,true,1,0.99,0,hard,constraints.csv,SL_critical 2035: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2036,true,1,0.97,0,hard,constraints.csv,SL_total 2036: 1.0000 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2036,true,1,0.99,0,hard,constraints.csv,SL_critical 2036: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2037,true,1,0.97,0,hard,constraints.csv,SL_total 2037: 1.0000 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2037,true,1,0.99,0,hard,constraints.csv,SL_critical 2037: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2038,true,1,0.97,0,hard,constraints.csv,SL_total 2038: 1.0000 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2038,true,1,0.99,0,hard,constraints.csv,SL_critical 2038: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2039,true,1,0.97,0,hard,constraints.csv,SL_total 2039: 1.0000 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2039,true,1,0.99,0,hard,constraints.csv,SL_critical 2039: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
BASE_TOTAL_SERVICE,2040,true,1,0.97,0,hard,constraints.csv,SL_total 2040: 1.0000 ≥ 0.97 (сценарий не BASE — ориентир устойчивости)
BASE_CRITICAL_SERVICE,2040,true,1,0.99,0,hard,constraints.csv,SL_critical 2040: 1.0000 ≥ 0.99 (сценарий не BASE — ориентир устойчивости)
CAPEX_2037,2035-2037,true,1430,1800,0,hard,constraints.csv,CAPEX до 2037-12: 1430.0 млн ≤ 1800 млн
CAPEX_2040,2035-2040,true,1430,2800,0,hard,constraints.csv,CAPEX до 2040-12: 1430.0 млн ≤ 2800 млн
RESERVE_45D,2035,true,65,12.32876712,0,hard,constraints.csv,Резерв 45 дн. 2035: запас на 01.01 = 65.00 т ≥ требуемых 12.33 т
RESERVE_45D,2036,true,25.99967,17.26027397,0,hard,constraints.csv,Резерв 45 дн. 2036: запас на 01.01 = 26.00 т ≥ требуемых 17.26 т
RESERVE_45D,2037,true,33.011257,23.42465753,0,hard,constraints.csv,Резерв 45 дн. 2037: запас на 01.01 = 33.01 т ≥ требуемых 23.42 т
RESERVE_45D,2038,true,40.166657,30.82191781,0,hard,constraints.csv,Резерв 45 дн. 2038: запас на 01.01 = 40.17 т ≥ требуемых 30.82 т
RESERVE_45D,2039,false,11.575481,39.45205479,27.87657379,hard,constraints.csv,Резерв 45 дн. 2039: запас на 01.01 = 11.58 т < требуемых 39.45 т
RESERVE_45D,2040,false,20.129941,48.08219178,27.95225078,hard,constraints.csv,Резерв 45 дн. 2040: запас на 01.01 = 20.13 т < требуемых 48.08 т
EMERGENCY_BASE_STREAK,2035-2040,true,0,2,0,hard,constraints.csv,Emergency как базовый канал: максимальная серия 0 год(а) (лимит 2); базовые годы: нет
CAPACITY_EXCEEDED,2035,true,100,190,0,hard,internal,Резерв канала 'A' на 2035: 100 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2036,true,140,190,0,hard,internal,Резерв канала 'A' на 2036: 140 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2037,true,190,190,0,hard,internal,Резерв канала 'A' на 2037: 190 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2038,false,190,152,38,hard,internal,Резерв канала 'A' на 2038: 190 т/год > мощности 152 т/год
CAPACITY_EXCEEDED,2039,true,190,190,0,hard,internal,Резерв канала 'A' на 2039: 190 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2040,true,190,190,0,hard,internal,Резерв канала 'A' на 2040: 190 т/год ≤ мощности 190 т/год
CAPACITY_EXCEEDED,2035,true,110,110,0,hard,internal,Резерв канала 'B' на 2035: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2036,true,110,110,0,hard,internal,Резерв канала 'B' на 2036: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2037,true,110,110,0,hard,internal,Резерв канала 'B' на 2037: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2038,true,110,110,0,hard,internal,Резерв канала 'B' на 2038: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2039,true,110,110,0,hard,internal,Резерв канала 'B' на 2039: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2040,true,110,110,0,hard,internal,Резерв канала 'B' на 2040: 110 т/год ≤ мощности 110 т/год
CAPACITY_EXCEEDED,2038,true,120,120,0,hard,internal,Резерв канала 'D' на 2038: 120 т/год ≤ мощности 120 т/год
CAPACITY_EXCEEDED,2039,true,120,120,0,hard,internal,Резерв канала 'D' на 2039: 120 т/год ≤ мощности 120 т/год
CAPACITY_EXCEEDED,2040,true,120,120,0,hard,internal,Резерв канала 'D' на 2040: 120 т/год ≤ мощности 120 т/год
ISRU_WITHOUT_CAPEX,2037-11,true,0,0,0,hard,internal,Канал 'D': инвестиция 'LUNAR_ISRU' (fund_capex) присутствует в плане
ISRU_FIRST_YEAR_RELIABILITY,2038,true,0,0.78,0,soft,internal,План не заявляет надёжность канала D 2038 выше 0.78 (CASE_INPUT)
CAPACITY_EXCEEDED,2037-01,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-01 по заказу 2037-01 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-02,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-02 по заказу 2037-02 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-03,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-03 по заказу 2037-03 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-04,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-04 по заказу 2037-04 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-05,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-05 по заказу 2037-05 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-06,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-06 по заказу 2037-06 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-07,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-07 по заказу 2037-07 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-08,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-08 по заказу 2037-08 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-09,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-09 по заказу 2037-09 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-10,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-10 по заказу 2037-10 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-11,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-11 по заказу 2037-11 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
CAPACITY_EXCEEDED,2037-12,false,15.833,12.66666667,3.166333333,hard,internal,Поставка канала 'A' в период 2038-12 по заказу 2037-12 (15.8330 т) превышает месячную долю зарезервированной мощности 2038 года (12.6667 т = 152 т/год ÷ 12); излишек 3.1663 т
NEGATIVE_INVENTORY,2035-2040,true,11.575481,0,0,hard,internal,Минимальный запас на конец месяца за горизонт: 11.5755 т (≥ 0 — отрицательного запаса нет)
